result,rollno
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,F,0,R1631052,UNIX PROGRAMMING,F,0,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,F,0,R1631054,DATABASE MANAGEMENT SYSTEMS,F,0,R1631055,OPERATING SYSTEMS,F,0,R1631056,UNIFIED MODELING LAB,A,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,A,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,A,2",17H71A0553
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,F,0,R1631052,UNIX PROGRAMMING,C,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,C,3,R1631054,DATABASE MANAGEMENT SYSTEMS,D,3,R1631055,OPERATING SYSTEMS,C,3,R1631056,UNIFIED MODELING LAB,S,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,S,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A0554
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,B,3,R1631052,UNIX PROGRAMMING,S,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,A,3,R1631054,DATABASE MANAGEMENT SYSTEMS,B,3,R1631055,OPERATING SYSTEMS,S,3,R1631056,UNIFIED MODELING LAB,O,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,O,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A0556
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,C,3,R1631052,UNIX PROGRAMMING,C,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,D,3,R1631054,DATABASE MANAGEMENT SYSTEMS,F,0,R1631055,OPERATING SYSTEMS,A,3,R1631056,UNIFIED MODELING LAB,O,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,S,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A0555
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,B,3,R1631052,UNIX PROGRAMMING,C,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,B,3,R1631054,DATABASE MANAGEMENT SYSTEMS,A,3,R1631055,OPERATING SYSTEMS,A,3,R1631056,UNIFIED MODELING LAB,O,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,S,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A0557
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,F,0,R1631052,UNIX PROGRAMMING,C,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,B,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,A,3,R1631056,UNIFIED MODELING LAB,O,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,S,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A0558
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,C,3,R1631052,UNIX PROGRAMMING,C,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,D,3,R1631054,DATABASE MANAGEMENT SYSTEMS,F,0,R1631055,OPERATING SYSTEMS,D,3,R1631056,UNIFIED MODELING LAB,O,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,O,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A0559
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,C,3,R1631052,UNIX PROGRAMMING,B,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,C,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,B,3,R1631056,UNIFIED MODELING LAB,O,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,O,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A0560
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,C,3,R1631052,UNIX PROGRAMMING,B,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,B,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,C,3,R1631056,UNIFIED MODELING LAB,O,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,O,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A0561
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,D,3,R1631052,UNIX PROGRAMMING,B,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,B,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,B,3,R1631056,UNIFIED MODELING LAB,O,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,S,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A0562
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,F,0,R1631052,UNIX PROGRAMMING,C,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,B,3,R1631054,DATABASE MANAGEMENT SYSTEMS,F,0,R1631055,OPERATING SYSTEMS,C,3,R1631056,UNIFIED MODELING LAB,O,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,S,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A0563
,17H71A0564
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,D,3,R1631052,UNIX PROGRAMMING,B,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,D,3,R1631054,DATABASE MANAGEMENT SYSTEMS,D,3,R1631055,OPERATING SYSTEMS,C,3,R1631056,UNIFIED MODELING LAB,O,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,S,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,A,2",17H71A0565
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,B,3,R1631052,UNIX PROGRAMMING,B,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,B,3,R1631054,DATABASE MANAGEMENT SYSTEMS,B,3,R1631055,OPERATING SYSTEMS,B,3,R1631056,UNIFIED MODELING LAB,O,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,O,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A0566
